iter	RMSE
0	4.929263508
1	4.693887123
2	4.471002431
3	4.26194685644	4.060753119
5	3.869625898
6	3.693121967
7	3.523195389
8	3.362657818
9	3.205383729
10	3.053931876
11	2.91684883
12	2.778932121
13	2.656396435
14	2.531540284
15	2.42364386
16	2.313525968
17	2.213025737
18	2.110719364
19	2.017946456
20	1.932466028
21	1.850568691
22	1.77318794
23	1.699040531
24	1.627726284
25	1.560417868
26	1.500250608
27	1.436625257
28	1.373865767
29	1.31762233
30	1.264207688
31	1.215680925
32	1.164520536
33	1.116024397
34	1.068695626
35	1.027557974
36	0.9866201429
37	0.9480128248
38	0.9104956004
39	0.8748562443
40	0.8395262932
41	0.8077873503
42	0.7775171326
43	0.7497020967
44	0.7209801232
45	0.6948790032
46	0.6725343019
47	0.6471804357
48	0.6233868569
49	0.6011000766
50	0.5792697871
51	0.5593143919
52	0.5409562878
53	0.523235635
54	0.5055739244
55	0.4907695504
56	0.4758232733
57	0.4617693661
58	0.4484824391
59	0.4354320039
60	0.4224579898
61	0.4097297428
62	0.397777291
63	0.3860288474
64	0.3763837977
65	0.3668284912
66	0.3570534185667	0.347843441968	0.3392055865
69	0.3306838899
70	0.3222712237
71	0.3140219088
72	0.30689991
73	0.2996901138
74	0.2974	0.304375	0.2860467634
76	0.2796471766
77	0.2742160988
78	0.2687743906
79	0.2624867923
80	0.80	0.26932681	0.2525698152
82	0.2473572135
83	0.2429682704
84	0.2378712084
85	0.2338279995
86	0.2302918221
87	0.2266762929
88	0.2224611844
89	0.2185896513
90	0.2152445203
91	0.2116470895
92	0.2073373887
93	093	0.217115194	0.2023212702
95	095	0.210705596	096	0.207028997	097	0.204364998	098	0.201395599	0.1860933254
100	0.183366945
101	0.1808975642
102	0.1789011737
103	0.1774121755
104	0.1751397744
105	0.1727888105
106	0.1705273048
107	0.1688432114
108	0.166489789
109	0.1656913784
110	0.1634433739
111	0.1614782569
112	0.1593614465
113	0.1577717446
114	0.1560035289
115	0.1541152156
116	0.152727045
117	0.151003606
118	0.1488622373
119	0.146861657
120	0.1453112235
121	0.1442412164
122	0.1431197754
123	0.141813853
124	0.140560289
125	0.1392552509
126	0.1379729196
127	0.1366291093
128	0.1360573312
129	0.1347695746
130	0.133928106
131	0.1323815737
132	0.1314127737
133	0.1297316088
134	0.1289373579
135	0.1280800637
136	0.1273350344
137	0.1260372173
138	0.1250568489
139	0.1242268637
140	0.1230932734
141	0.1221450561
142	0.1209327828
143	0.1199712154
144	0.1191130159
145	0.1181589136
146	0.1169494286
147	0.1163231859
148	0.1153964457
149	0.1145513759
150	0.1139239775
151	0.1129110532
152	0.1120398143
153	0.1112047259
154	0.1103661149
155	0.1095337493
156	0.1087129992
157	0.107908015
158	0.1071710706
159	0.106396195
160	0.1056652989
161	0.104856471
162	0.1042728376
163	0.1034481981
164	0.1027000157
165	0.1019763185
166	0.1012231406
167	0.100464243
168	0.09971751193
169	0.09910952974
170	0.09823739408
171	0.09768914096
172	0.09716646305
173	0.09661657684
174	0.09588746244
175	0.09521653883
176	0.09450985185
177	0.09364585045
178	0.09318046
179	0.09270970923
180	0.09200168928
181	0.0914643555
182	0.09066063104
183	0.09011503295
184	0.08964157433
185	0.08912176362
186	0.08865985187
187	0.08809777632
188	0.08750540878
189	0.08699804288
190	0.08643320839
191	0.08592025024
192	0.08495724865
193	0.0843473057
194	0.08370348173
195	0.082957605
196	0.08244653219
197	0.08203096102
198	0.08158214515
199	0.08099791269
200	0.0805642725
201	0.08026393658
202	0.0795735933
203	0.07883251522
204	0.07843216628
205	0.07809357033
206	0.07757041653
207	0.0770322465
208	0.07634497094
209	0.07575033564
210	0.07542314153
211	0.07497916627
212	0.07458289834
213	0.07396925056
214	0.073682707
215	0.07339528675
216	0.0731690346
217	0.07281571232
218	0.07247335821
219	0.07227382006
220	0.07193376204
221	0.0716742588
222	0.07112065333
223	0.0706137789
224	0.0701044734
225	0.06972686418
226	0.06919774807
227	0.06884791815
228	0.06846635044
229	0.06816778745
230	0.06782601052
231	0.06733738435
232	0.06693903047
233	0.06659982086
234	0.06628758189
235	0.06585116786
236	0.06549555752
237	0.06519517337
238	0.06477654356
239	0.06448749403
240	0.06405967891
241	0.06381565744
242	0.06352677149
243	0.06327007842
244	0.06290159567
245	0.0625686626
246	0.06223912921
247	0.06197190949
248	0.06172358519
249	0.06148504569
250	0.06124339021
251	0.06091070234
252	0.06054116884
253	0.06030433509
254	0.06007945494
255	0.05972996266
256	0.05961010906
257	0.05928385878
258	0.05911428286
259	0.05879203146
260	0.05850047698
261	0.05833073943
262	0.05810935416
263	0.05781847643
264	0.05760584186
265	0.05733533927
266	0.05712906277
267	0.05688862768
268	0.05652412718
269	0.05623494659
270	0.05601137285
271	0.05582146739
272	0.05571247529
273	0.05552473091
274	0.05529945806
275	0.05511691855
276	0.05486977872
277	0.05458779031
278	0.05440364012
279	0.05422340893
280	0.054156923
281	0.05404092424
282	0.05379581687
283	0.0536135597
284	0.05347911531
285	0.05342888396
286	0.05336517268
287	0.05307153913
288	0.05290244438
289	0.0527483226
290	0.05245971311
291	0.05217091726
292	0.05210675799
293	0.05190827361
294	0.05184231081
295	0.05154784209
296	0.05122729116
297	0.05110449598
298	0.05090645994
299	0.05071455812
300	0.05053410916
301	0.05037174966
302	0.0501272347
303	0.05000631698
304	0.04985777482
305	0.0497204272
306	0.04947569789
307	0.04932214085
308	0.04916546415
309	0.04897674105
310	0.04887178896
311	0.04870327791
312	0.04850596382
313	0.0484161932
314	0.04827631772
315	0.04817972747
316	0.04808495825
317	0.04785122466
318	0.04777134822
319	0.04772199107
320	0.04758387779
321	0.0473547617
322	0.04717498534
323	0.04713543045
324	0.04700467212
325	0.04680626956
326	0.04671879868
327	0.04665777404
328	0.04660184747
329	0.04647303607
330	0.04632650526
331	0.04611740103
332	0.04600381954
333	0.04583258693
334	0.04573174099
335	0.04556028899
336	0.04543714293
337	0.04531110098
338	0.04529254775
339	0.04513083368
340	0.04498930024
341	0.0449757474
342	0.04485078453
343	0.04481532201
344	0.04480250033
345	0.04474947016
346	0.04457194367
347	0.04441289051
348	0.04426883713
349	0.04419795817
350	0.04401241509
351	0.04396514317
352	0.0438336313
353	0.04369922955
354	0.04367019823
355	0.04357463671
356	0.04345857813
357	0.043436662
358	0.04333390184
359	0.04317842376
360	0.04303493486
361	0.0429479675
362	0.04293351714
363	0.04280216482
364	0.04276920591
365	0.04262626663
366	0.04249539979
367	0.04246625773
368	0.04232687609
369	0.04221306613
370	0.04209712223
371	0.04193754327
372	0.04183323778
373	0.04180771151
374	0.0417847761
375	0.04169035682
376	0.04158604724
377	0.04144843346
378	0.04137435009
379	0.04129345136
380	0.04119662844
381	0.04116628751
382	0.04098614127
383	0.04088187254
384	0.04079210204
385	0.04064978848
386	0.04052301809
387	0.04042076538
388	0.04030015433
389	0.04021735863
390	0.04013239047
391	0.04007228316
392	0.04003237792
393	0.03991961786
394	0.03978088902
395	0.03969892955
396	0.03968874898
397	0.03961414251
398	0.03951019351
399	0.03941836854
400	0.03932983856
401	0.03925064222
402	0.03917614919
403	0.03910661165
404	0.03902635629
405	0.0389506395
406	0.03889324245
407	0.03880893912
408	0.03874386369
409	0.03868002867
410	0.03859196996
411	0.03855955882
412	0.03852404793
413	0.03849248947
414	0.03846773915
415	0.03838285554
416	0.03826149676
417	0.03821437237
418	0.03814225745
419	0.03810667658
420	0.03799816216
421	0.03799011118
422	0.03786132065
423	0.0378158919
424	0.03776556728
425	0.03772050141
426	0.03762645115
427	0.03748688919
428	0.03732693027
429	0.03723510535
430	0.03708938752
431	0.03701970784
432	0.03690956073
433	0.03680596902
434	0.03669775072
435	0.03666246646
436	0.03658556019
437	0.03651085663
438	0.03639746345
439	0.0363142343
440	0.03623449021
441	0.03617374982
442	0.03614906437
443	0.03601253195
444	0.0359214997
445	0.03585456907
446	0.03575526185
447	0.03570168383
448	0.03564058356
449	0.03555681114
450	0.03552623859
451	0.03544759661
452	0.03539404411
453	0.03535841441
454	0.03528329359
455	0.03526685066
456	0.03522876287
457	0.03513509832
458	0.03503887402
459	0.03497415023
460	0.034914973
461	0.03486311578
462	0.03480268975
463	0.03478114188
464	0.0347578589
465	0.03466360771
466	0.03464795225
467	0.03458297947
468	0.03445927113
469	0.03438243319
470	0.03431184433
471	0.03424978974
472	0.03416953926
473	0.03405030585
474	0.03396371533
475	0.03393408734
476	0.03385375051
477	0.03381388846
478	0.03379486095
479	0.03372492147
480	0.03371966207
481	0.03361424022
482	0.03359277354
483	0.03350873427
484	0.03343917093
485	0.03335826476
486	0.03329850967
487	0.03323285565
488	0.03317718605
489	0.03310691387
490	0.03302675581
491	0.03302169476
492	0.03296435217
493	0.03290573162
494	0.03285088037
495	0.03284598181
496	0.03277494911
497	0.03274307224
498	0.03273844837
499	0.03267728214
500	0.032629323
501	0.03262528309
502	0.03262169221
503	0.03257614402
504	0.03253014088
505	0.03245136075
506	0.03239980436
507	0.03233813397
508	0.0322716168
509	0.03223856539
510	0.03217341836
511	0.03213488874
512	0.03207793601
513	0.03202956036
514	0.03195769114
515	0.03189197467
516	0.03185161242
517	0.0317406001
518	0.03170339354
519	0.03169076636
520	0.03166662464
521	0.03157917569
522	0.03152787093
523	0.03149009435
524	0.0314284759
525	0.0313895092
526	0.03128876604
527	0.03124445731
